"chain_number","name"
"60_Baskin_Robbins","Baskin Robbins - Centrepoint"
"60_Baskin_Robbins","Baskin Robbins - Sunway Giza"
"60_Baskin_Robbins","Baskin Robbins - Taipan"
"60_Baskin_Robbins","Baskin Robbins - Ampang Point"
"60_Baskin_Robbins","Baskin Robbins - Setapak Central"
"60_Baskin_Robbins","Baskin Robbins - Melawati Mall"
"60_Baskin_Robbins","Baskin Robbins - Subang Parade"
"60_Hotpot_Kitchen","Hotpot Kitchen - 1Utama [Non-Halal]"
"60_AP_Bhavan_Restaurant","AP Bhavan Restaurant - Brickfields"
"60_Hotpot_Kitchen","Hotpot Kitchen - Mid Valley [Non-Halal]"
"60_Galitos_Flame_Grilled_Chicken","Galito's Flamed Grilled Chicken - e-Curve"
"60_Mobilecoach_Cafe","Mobilecoach Cafe"
"60_Ayam_Kunyit_Pak_Ngah","Ayam Kunyit Pak Ngah"
"60_Herman_Ayam_Kampung","Herman Ayam Kampung"
"60_Restoran_Hidayah_Maju","Restoran Hidayah Maju - Bukit Indah"
"60_Restoran_Hidayah_Maju","Restoran Hidayah Maju - Ukay Perdana"
"60_Jens","Jens"
"60_Street_Churros","Street Churros - Sogo KL"
"60_Nyonya_Cuisine","Nyonya Cuisine"
"60_Restoran_Maju_Maju","Restoran Maju Maju"
"60_Restoran_Nasi_Kandar_Hamza","Restoran Nasi Kandar Hamza"
"60_Hamzah_Cafe_VS_Kandar","Hamzah Cafe VS Kandar Hamzah - Sri Hartamas"
"60_Singh_Saab","Singh Saab"
"60_Choo_Choo_Chicken","Choo Choo Chicken - USJ"
"60_Choo_Choo_Chicken","Choo Choo Chicken - Sri Petaling"
"60_Souka_Bakeshop","Souka Bakeshop"
"60_SeptemberBakes","SeptemberBakes"
"60_Purple_Monkey_Cheesecakes","Purple Monkey Cheesecakes - PJ"
"60_Juice_Works","Juice Works - Mid Valley"
"60_Zen_And_Co","Zen & Co - Happy Garden"
"60_Tasty_Chapathi","Tasty Chapathi - PJ"
"60_Tasty_Chapathi","Tasty Chapathi - Jalan Ipoh"
"60_Zen_And_Co","Zen & Co - Bandar Manjalara [Non-Halal]"
"60_Baskin_Robbins","Baskin Robbins - Uptown"
"60_Baskin_Robbins","Baskin Robbins - G-Village"
"60_Jiang_Nanyang","Jiang Nanyang - KL Gateway"
"60_Jos_Bakery","Jo's Bakery - Tropicana Avenue"
"60_Warung_Kerinci","Warung Kerinci"
"60_Hotpot_Kitchen","Hotpot Kitchen - Sunway Pyramid [Non-Halal]"
"60_Roti_Chai","Roti Chai"
"60_Hasans_Rojak_And_Cendol","Hasan's Rojak & Cendol"
"60_Joy_St_","Joy St. - Bangsar"
"60_McDonalds","McDonald's® - Kota Damansara  178"
"60_Super_Saigon","Super Saigon - Ampang"
"60_The_Manhattan_FISH_MARKET","The Manhattan FISH MARKET - Mid Valley"
"60_Pontian_Wanton_Noodles","Pontian Wanton Noodles [Non-Halal]"
"60_Ravis_Banana_Leaf","Ravi's Banana Leaf - Mont Kiara"
"60_Ravis_Banana_Leaf","Ravi's Banana Leaf - Kota Damansara"
"60_Dineshaa_Banana_Leaf_Restaurant","Dineshaa Banana Leaf Restaurant"
"60_My_Biryani_House","My Biryani House - Jalan Tun Razak"
"60_Brickfields_Pisang_Goreng","Brickfields Pisang Goreng"
"60_Paperfish","Paperfish - TTDI"
"60_Quartet","Quartet - TTDI"
"60_Quartet","Quartet - Nu Sentral"
"60_Curry_Leaf_Restaurant","Curry Leaf Restaurant"
"60_Nasi_Lemak_Wild_Boar","Nasi Lemak Wild Boar - Sri Petaling [Non-Halal]"
"60_Waki_Malaysian_Dim_Sum","Waki Malaysian Dim Sum "
"60_Maluri_Tomyam","Maluri Tomyam"
"60_Seremban_Siew_Pow_At_Bandar_Utama","Seremban Siew Pow - Bandar Utama [Non-Halal]"
"60_The_Fat_Fish","The Fat Fish - Mont Kiara"
"60_Mr_Biryani","Mr Biryani"
"60_Sheesh_Mahal_Restaurant","Sheesh Mahal Restaurant"
"60_Wahabs_Cendol","Wahab's Cendol"
"60_Inside_Scoop","Inside Scoop - Damansara Jaya"
"60_Inside_Scoop","Inside Scoop - MyTown"
"60_Inside_Scoop","Inside Scoop - KLCC"
"60_Shawarma_King","Shawarma King - Bangsar [Non-Halal]"
"60_John_Burger","John Burger - Hartamas"
"60_Rasai_Machan","Rasai Machan"
"60_SRK_Noodle_House","SRK Noodle House - SS 15 [Non-Halal]"
"60_SRK_Noodle_House","SRK Noodle House - Puchong [Non-Halal]"
"60_SRK_Noodle_House","SRK Noodle House - Seksyen 14 [Non-Halal]"
"60_Shawarma_Halab_Gate","Shawarma Halab Gate"
"60_Tryst","Tryst"
"60_My_Moms_Chicken_Rice","My Mom's Chicken Rice Citarasa Linda Onn - Tesco Ampang"
"60_Nasi_Lemak_Kukus_SS12","Nasi Lemak Kukus 12 - USJ 20"
"60_Esquire_Kitchen","Esquire Kitchen - Sungei Wang [Non-Halal]"
"60_McDonalds","McDonald's® - Bandar Utama DT  133"
"60_McDonalds","McDonald's® - SS15 140"
