"chain_number","name"
"","ลาบ 89 - สุขุมวิท 89"
"True_Coffee","TrueCoffee (ทรูคอฟฟี่) - ทรู ทาวเวอร์"
"Kaiwan_BaanSushi","ไข่หวานบ้านซูชิ - ศูนย์อาหารเมืองทองธานี"
"Kinza_Gyoza","Kinza Gyoza (คินซ่า เกี๊ยวซ่า) - ซีคอนบางเเค"
"True_Coffee","TrueCoffee (ทรูคอฟฟี่) - เซ็นทรัลเฟสติวัล อีสต์วิลล์"
"Anchan_Cafe","Anchan Café (อัญชัน คาเฟ่) - วิภาวดีรังสิต"
"","ฉอเล้ง หมี่กระเฉดตลาดพลู - ตลาดพลู"
"","Devilish (เดวิลลิช) - โครงการดิ เวฟเวอรี่"
"Mezzo_Coffee","Mezzo Coffee (เมซโซ่ คอฟฟี่) - อาคาร รสา ทาวเวอร์"
"","Mugendai Penthouse (มูเกนได เพนท์เฮ้าส์) - เอ็มควอเทียร์"
"","Baan Sabieng (บ้านเสบียง) - ถนนสุขุมวิท"
"Jeffer_Steak","Jeffer Steak (เจฟเฟอร์ สเต็ก) - บิ๊กซีวงศ์สว่าง"
"ChaTraMue","ChaTraMue (ชาตรามือ) - เซ็นทรัลพลาซา เชียงราย"
"Mezzo_Coffee","Mezzo Coffee (เมซโซ่ คอฟฟี่) - โรงพยาบาลบางโพ"
"","ข้าวมันไก่ไหหลำเจ๊หย่ง - ศาลเจ้าพ่อเสือ"
"","ข้าวมันไก่เจ๊โบว์ - บรรทัดทอง"
"","ข้าวมันไก่วัดสุทธิ - ถนนเจริญกรุง"
"Fuji_Japanese_Restaurant","Fuji Japanese Restaurant (ฟูจิ เจแปนนิส เรสเตอร์รอง) - เทสโก้ โลตัส พระรามที่ 4"
"","ราดหน้าประดิพัทธ์ - ถนนประดิพัทธิ์"
"","ข้าวขาหมูนายเล็ก - ตลาดยิ่งเจริญ"
"","เจ๊เดือน อาหารไทย - สวนหลวงสเเควร์"
"","ลุงเเปด กะเพราจัดจ้าน - ถนนสมโภชเชียงใหม่ 700 ปี"
"","หน่อยตำซั๊ว (สาขา รามอินทรา) - ถนนพระยาสุเรนทร์"
"","Nokban Cafe (กาแฟนอกบ้าน) - ตลาดนัดหัวมุม"
"RED_SUN","REDSUN (เรดซัน) - Central Festival Eastville"
"","ญาแฝด สูตรเด็ดโครตๆ - ถนนฉลองกรุง"
"Thai_Terrace","Thai Terrace (ไทย เทอเรส) - โฮมเวิร์ค ราชพฤกษ์"
"","Humpเนื้อมันแซ่บ - สัมมากร"
"","ระฆังโภชนาซีฟู้ดส์ - ถนนอรุณอมรินทร์"
"","Inter (อินเตอร์) - สยามสแควร์ซอย 9"
"Mezzo_Coffee","Mezzo Coffee (เมซโซ่ คอฟฟี่) - อาคารชิโนไท"
"Cafe_Amazon","Cafe Amazon (คาเฟ่ อเมซอน) - เดอะมอลล์ งามวงศ์วาน"
"","แอน คอหมูย่าง (Ann Pork Grill) - ถนนพระรามที่ 4"
"","หมี่เต๋อ - ศรีเวียง"
"Mezzo_Coffee","Mezzo Coffee (เมซโซ่ คอฟฟี่) - ปั้มซัสโก้ พหลโยธิน 24"
