"chain_number","name"
"WildflourCafeBakery","Wild flour Cafe + Bakery - Net Lima"
"ClassicSavory","Classic Savory - SM Novaliches"
"CaraMiaCakesGelato","Cara Mia Cakes & Gelato - Tomas Morato"
"CasaVerdeToo","Casa Verde Too - SM Megamall"
"CaraMiaCakesGelato","Cara Mia Cakes & Gelato - Robinsons Place Manila"
"CitrusZone","Citrus Zone - Starmall Shaw"
"CafeMaryGrace","Cafe Mary Grace - SM Fairview"
"KantoFreestyleBreakfast","Kanto Freestyle Breakfast - Kapitolyo"
"HappyLemon","Happy Lemon - Greenbelt 1"
"GerrysGrillRestaurantBar","Gerry's Grill Restaurant & Bar - SM Sta Mesa"
"NgohiongExpress","Ngohiong Express - Community Hospital"
"RACKS","RACKS - Robinsons Place Manila"
"Mexicali","Mexicali - SM Megamall"
"BurgerKing","Burger King - Frontera Verde"
"BonChon","BonChon - SM City Novaliches"
"ComidaChinaDeManila","Comida China De Manila - E. Rodriguez"
"BonChon","BonChon - SM Bicutan"
"ZarksBurgers","Zark's Burgers - SM Megamall"
"ChooksToGo","Chooks To Go - Water Fun"
"ZarksBurgers","Zark's Burgers - Eastwood"
"ChooksToGo","Chooks To Go - Evacom Plaza"
"ChooksToGo","Chooks To Go - Sta Elena Marikina"
"ZarksBurgers","Zark's Burgers - Taft"
"ChooksToGo","Chooks To Go - SSS Village"
"BuddysPancitLucbanatLongganisangLucban","Buddy's Pancit Lucban at Longganisang Lucban - Araneta"
"MisterKabab","Mister Kabab - Fisher Mall"
"MisterKabab","Mister Kabab - Fairview"
"BuddysPancitLucbanatLongganisangLucban","Buddy's Pancit Lucban at Longganisang Lucban - Kalayaan"
"SiloganniGian","Silogan ni Gian - Arlington Pond"
"RUBRibsBBQ","RUB Ribs & BBQ - Poblacion"
"DavidsTeaHouse","David's Tea House - CCTM Square"
"NathanielsBakeshop","Nathaniel's Bakeshop - ITC Commercial Complex"
"NathanielsBakeshop","Nathaniel's Bakeshop - Molito Commercial Complex"
"DavidsTeaHouse","David's Tea House - Malate"
"Binalot","Binalot - Robinsons Otis"
"Binalot","Binalot - McKinley Hill"
"InasalChickenBacolod","Inasal Chicken Bacolod - SM North EDSA"
"Binalot","Binalot - Market! Market!"
"Binalot","Binalot - Fisher Mall"
"TroikaRestoArtGallery","Troika Resto & Art Gallery - Sampaloc"
"BurgerKing","Burger King - Fairview Commonwealth"
"Tenya","Tenya - SM Mall of Asia"
"TableaChocolateCafe","Tablea Chocolate Cafe - JY Square Discovery Mall"
"TheSandwichGuy","The Sandwich Guy - Eastwood"
"TheBurgery","The Burgery - Circuit Lane"
"Tenya","Tenya - Aseana"
"SenorPollo","Senor Pollo - Tomas Morato"
"MurraysNewOrleansJazzKitchen","Murray's New Orleans Jazz Kitchen - 9th Avenue"
"MerryMoo","Merry Moo - SM Aura"
"MerryMoo","Merry Moo - SM Megamall"
"MaanCoffeeFactory","Maan Coffee Factory - Banilad"
"HongKongNoodlesDimsumHouse","Hong Kong Noodles & Dimsum House - Quiapo"
"TheFrenchBaker","The French Baker - SM Sucat"
"TheFrenchBaker","The French Baker - Landmark Trinoma"
"TheFrenchBaker","The French Baker - Robinsons Magnolia"
"TheFrenchBaker","The French Baker - SM Manila"
